Palette names,Color name,Variable name,HEX,RGB,CMYK,Pantone
,// Green family,,,,,
color_tints,Dark Green,@dark-green,#1e9642,"30, 150, 66","80, 0, 100, 17",
"color_tints, color_primary-palette, color_data-visualization-cool-palette, ",CFPB Green,@green,#20aa3f,"32, 170, 63","80, 0, 100, 0",361
color_tints,Green 80,@green-80,#66c368,"102, 195, 104","55, 0, 76, 0",
"color_tints, color_primary-palette, color_data-visualization-cool-palette, ",Green 60,@green-60,#addc91,"173, 220, 145","32, 0, 52, 0",358
color_tints,Green 40,@green-40,#c7e5b3,"199, 229, 179","22, 0, 36, 0",
"color_tints, color_primary-palette, ",Green 20,@green-20,#e2efd8,"226, 239, 216","12, 0, 19, 0",361 (20%)
color_tints,Green 10,@green-10,#f0f8eb,"240, 248, 235",,
,,,,,,
,,,,,,
,// Teal family,,,,,
color_tints,Dark Teal,@dark-teal,#005e5d,"0, 94, 93","89, 0, 35, 60",
"color_tints, color_secondary-color, color_data-visualization-cool-palette, color_data-visualization-divergent-palette",Teal,@teal,#257675,"37, 118, 117","85, 0, 30, 44",7721
color_tints,Teal 80,@teal-80,#579695,"87, 150, 149","53, 0, 20, 30",
"color_tints, color_data-visualization-cool-palette, color_data-visualization-divergent-palette",Teal 60,@teal-60,#89b6b5,"137, 182, 181","36, 0, 13, 19",
color_tints,Teal 40,@teal-40,#b4d2d1,"180, 210, 209","20, 0, 8, 12",
color_tints,Teal 20,@teal-20,#d4e7e6,"212, 231, 230","10, 0, 4, 6",
color_tints,Teal 10,@teal-10,#f0f7f6,"240, 247, 246",,
,,,,,,
,,,,,,
,// Pacific family,,,,,
color_tints,Dark Pacific,@dark-pacific,#0050b4,"0, 80, 180","100, 51, 0, 20",
"color_tints, color_secondary-color, color_data-visualization-cool-palette, ",Pacific,@pacific,#0072ce,"0, 114, 206","90, 48, 0, 0",285
color_tints,Pacific 80,@pacific-80,#4497dc,"68, 151, 220","68, 30, 0, 0",
"color_tints, color_data-visualization-cool-palette, ",Pacific 60,@pacific-60,#7eb7e8,"126, 183, 232","46, 16, 0, 0",
color_tints,Pacific 40,@pacific-40,#afd2f2,"175, 210, 242","29, 8, 0, 0",
color_tints,Pacific 20,@pacific-20,#d6e8fa,"214, 232, 250","16, 3, 0, 0",
color_tints,Pacific 10,@pacific-10,#eff8fd,"239, 248, 253",,
,,,,,,
,,,,,,
,// Navy family,,,,,
color_tints,Dark Navy,@dark-navy,#002d72,"0, 45, 114","100, 80, 6, 32",
"color_tints, color_secondary-color, color_data-visualization-cool-palette, ",Navy,@navy,#254b87,"37, 75, 135","82, 58, 0, 31",288
color_tints,Navy 80,@navy-80,#5674a3,"186, 116, 163","60, 35, 0, 26",
"color_tints, color_data-visualization-cool-palette, ",Navy 60,@navy-60,#889cc0,"136, 156, 192","36, 21, 0, 17",
color_tints,Navy 40,@navy-40,#b3c0d9,"179, 192, 217","23, 13, 0, 7",
color_tints,Navy 20,@navy-20,#d3daeb,"211, 218, 235","13, 8, 0, 4",
color_tints,Navy 10,@navy-10,#f4f6fa,"244, 246, 250",,
,,,,,,
,,,,,,
,// Purple family,,,,,
